Date,BTC-OPEN,BTC-HIGH,BTC-LOW,BTC-CLOSE,BTC-ADJ CLOSE,BTC-VOLUME,ETH-OPEN,ETH-HIGH,ETH-LOW,ETH-CLOSE,ETH-ADJ CLOSE,ETH-VOLUME,XRP-OPEN,XRP-HIGH,XRP-LOW,XRP-CLOSE,XRP-ADJ CLOSE,XRP-VOLUME
2018-10-18,6542.330078,6567.540039,6450.040039,6476.709961,6476.709961,3924080000,207.404007,208.470001,201.742996,203.352005,203.352005,1365860000,0.467653,0.474622,0.447294,0.457725,0.457725,476876000
2018-10-19,6478.069824,6493.680176,6445.310059,6465.410156,6465.410156,3578870000,203.257004,204.662994,201.843994,203.727005,203.727005,1264480000,0.457344,0.460625,0.450369,0.454178,0.454178,303401000
2018-10-20,6460.919922,6497.720215,6449.0,6489.189941,6489.189941,3379130000,203.514999,206.222,203.085007,205.429993,205.429993,1238780000,0.453936,0.461899,0.45107,0.459151,0.459151,277061000
2018-10-21,6490.089844,6556.379883,6476.0,6482.350098,6482.350098,3253610000,205.389999,208.154999,204.621002,205.141998,205.141998,1190300000,0.458863,0.463629,0.455411,0.456694,0.456694,262867000
2018-10-22,6486.049805,6543.799805,6462.97998,6487.160156,6487.160156,3672860000,205.173996,206.932007,203.376999,204.044006,204.044006,1328980000,0.456089,0.458188,0.450583,0.453109,0.453109,249302000
2018-10-23,6472.359863,6506.009766,6451.27002,6475.740234,6475.740234,3716150000,204.016006,205.151001,201.910995,204.335999,204.335999,1237490000,0.45307,0.471596,0.439644,0.462058,0.462058,445238000
2018-10-24,6478.890137,6521.990234,6468.859863,6495.839844,6495.839844,3424670000,204.126999,205.580994,203.354004,203.852005,203.852005,1102220000,0.461505,0.46707,0.454497,0.457237,0.457237,295115000
2018-10-25,6484.649902,6504.649902,6447.029785,6476.290039,6476.290039,3230550000,203.867996,204.132004,201.822998,202.718994,202.718994,1102900000,0.45578,0.462766,0.452681,0.458052,0.458052,273380000
2018-10-26,6468.439941,6498.290039,6449.609863,6474.75,6474.75,3306050000,202.335999,204.779999,201.550995,203.328995,203.328995,1161310000,0.456961,0.460288,0.453618,0.459288,0.459288,235514000
2018-10-27,6480.839844,6507.410156,6453.529785,6480.379883,6480.379883,3393250000,203.356003,206.082001,203.126007,204.210007,204.210007,1084810000,0.459176,0.460376,0.455284,0.456348,0.456348,211006000
2018-10-28,6482.660156,6502.279785,6447.910156,6486.390137,6486.390137,3445190000,204.509995,205.919006,203.522995,205.365997,205.365997,1139140000,0.457169,0.463931,0.455456,0.462406,0.462406,280005000
2018-10-29,6492.350098,6503.600098,6306.990234,6332.629883,6332.629883,4199910000,205.173996,205.597,195.733994,197.246994,197.246994,1517230000,0.461598,0.462128,0.437057,0.441514,0.441514,341648000
2018-10-30,6337.040039,6364.990234,6310.140137,6334.27002,6334.27002,3781100000,197.203003,198.121994,196.350998,197.556,197.556,1363500000,0.441968,0.448306,0.44088,0.444759,0.444759,245858000
2018-10-31,6336.990234,6349.160156,6316.879883,6317.609863,6317.609863,4191240000,197.649002,198.337997,196.531006,197.380997,197.380997,1442380000,0.445268,0.450401,0.43876,0.448382,0.448382,367008000
2018-11-01,6318.140137,6547.140137,6311.830078,6377.779785,6377.779785,3789400000,197.537003,203.753998,197.328003,198.871994,198.871994,1336700000,0.44862,0.456303,0.446069,0.455722,0.455722,346501000
2018-11-02,6378.919922,6396.859863,6327.379883,6388.439941,6388.439941,4234870000,198.981995,201.268997,198.755005,200.634995,200.634995,1451870000,0.456506,0.461451,0.455729,0.458685,0.458685,401300000
2018-11-03,6387.240234,6400.069824,6342.370117,6361.259766,6361.259766,3658640000,200.740005,200.740005,199.524994,200.186005,200.186005,1307150000,0.458899,0.459135,0.454453,0.455667,0.455667,275311000
2018-11-04,6365.470215,6388.629883,6294.569824,6376.129883,6376.129883,4390020000,200.158005,211.272003,198.985992,207.485992,207.485992,1749300000,0.455225,0.470722,0.449935,0.462691,0.462691,429629000
2018-11-05,6363.620117,6480.589844,6363.620117,6419.660156,6419.660156,4174800000,207.100006,210.819,206.572998,209.091003,209.091003,1613510000,0.461444,0.497412,0.460769,0.497412,0.497412,556519000
2018-11-06,6433.379883,6463.549805,6408.160156,6461.009766,6461.009766,4700040000,209.473999,218.451996,207.893997,218.451996,218.451996,1856940000,0.497102,0.560547,0.497102,0.54908,0.54908,1333160000
2018-11-07,6468.5,6552.160156,6468.310059,6530.140137,6530.140137,4941260000,218.899002,221.651993,216.796005,217.182999,217.182999,1927830000,0.549319,0.549319,0.524965,0.535707,0.535707,631230000
2018-11-08,6522.27002,6536.919922,6438.529785,6453.720215,6453.720215,4665260000,217.326996,218.337997,212.199005,212.231003,212.231003,1769080000,0.53664,0.539282,0.491286,0.493508,0.493508,686221000
2018-11-09,6442.600098,6456.459961,6373.370117,6385.620117,6385.620117,4346820000,211.987,213.315994,209.514999,210.074005,210.074005,1554750000,0.492847,0.515509,0.492847,0.500668,0.500668,509865000
